ID_Usuario,Tipo_Prenda,Marca,Medida_Pecho_cm,Medida_Cintura_cm,Medida_Cadera_cm,Altura_cm,Peso_kg,Edad,Talla_Ropa_General,Talla_Zapatillas,Talla_Pantalones,Feedback_Ajuste
1,Camiseta,Zara,92,78,94,170,65,28,M,N/A,N/A,Perfecto
2,Pantalón,Levi's,N/A,88,102,175,78,35,N/A,N/A,32x32,Perfecto
3,Vestido,H&M,88,72,90,165,58,22,S,N/A,N/A,Perfecto
4,Zapatillas,Nike,N/A,N/A,N/A,180,85,30,N/A,44 EU,N/A,Demasiado ajustado
5,Camiseta,Hugo Boss,96,80,98,172,70,45,L,N/A,N/A,Demasiado grande
6,Pantalón,Dockers,N/A,95,108,185,90,40,N/A,N/A,36x32,Perfecto
7,Vestido,Mango,85,68,88,160,55,20,M,N/A,N/A,Demasiado grande
8,Zapatillas,Clarks,N/A,N/A,N/A,178,75,50,N/A,41 EU,N/A,Demasiado ajustado
9,Camiseta,Springfield,90,75,92,168,62,25,M,N/A,N/A,Perfecto
10,Pantalón,Adidas,N/A,90,104,176,80,33,L,N/A,N/A,Perfecto
11,Vestido,Zara,86,70,89,162,56,21,S,N/A,N/A,Perfecto
12,Zapatillas,Puma,N/A,N/A,N/A,183,88,29,N/A,45 EU,N/A,Perfecto
13,Camiseta,Ralph Lauren,94,79,96,171,68,38,S,N/A,N/A,Demasiado ajustada
14,Pantalón,Massimo Dutti,N/A,83,99,174,72,42,40 ES,N/A,N/A,Perfecto
15,Vestido,Pull&Bear,89,74,91,166,60,23,M,N/A,N/A,Demasiado grande
16,Zapatillas,Dr. Martens,N/A,N/A,N/A,179,82,31,N/A,43 EU,N/A,Demasiado ajustado
17,Camiseta,Levi's,91,76,93,169,63,26,M,N/A,N/A,Perfecto
18,Pantalón,Nike,N/A,86,101,177,76,34,L,N/A,N/A,Perfecto
19,Vestido,Women'secret,87,71,89,163,57,20,S,N/A,N/A,Perfecto
20,Zapatillas,Vans,N/A,N/A,N/A,181,86,27,N/A,42 EU,N/A,Perfecto
21,Camiseta,Springfield,93,77,95,170,66,24,S,N/A,N/A,Demasiado ajustada
22,Pantalón,Zara,N/A,89,103,175,79,36,L,N/A,N/A,Perfecto
23,Vestido,Mango,88,73,90,164,59,22,M,N/A,N/A,Demasiado grande
24,Zapatillas,Guess,N/A,N/A,N/A,180,84,30,N/A,38 EU,N/A,Demasiado ajustado
25,Camiseta,H&M,95,81,97,173,71,28,M,N/A,N/A,Perfecto
26,Pantalón,Massimo Dutti,N/A,84,100,176,77,41,34 ES,N/A,N/A,Perfecto
27,Vestido,Zara,89,74,91,167,61,25,S,N/A,N/A,Perfecto
28,Zapatillas,Adidas,N/A,N/A,N/A,184,89,32,N/A,46 EU,N/A,Perfecto
29,Camiseta,Springfield,90,75,92,168,64,23,S,N/A,N/A,Demasiado ajustada
30,Pantalón,Mango,N/A,87,102,174,74,35,M,N/A,N/A,Perfecto
31,Camiseta,Uniqlo,102,90,105,182,83,37,XL,N/A,N/A,Perfecto
32,Pantalón,Zara Men,N/A,92,106,179,81,39,N/A,N/A,34x32,Perfecto
33,Vestido,Bimba y Lola,91,75,93,167,60,26,M,N/A,N/A,Perfecto
34,Zapatillas,New Balance,N/A,N/A,N/A,176,73,33,N/A,40 EU,N/A,Demasiado grande
35,Camiseta,Tommy Hilfiger,98,84,100,175,72,40,L,N/A,N/A,Perfecto
36,Pantalón,H&M Men,N/A,80,95,170,68,28,N/A,N/A,30x30,Demasiado ajustado
37,Vestido,Desigual,95,78,97,172,64,31,L,N/A,N/A,Perfecto
38,Zapatillas,Converse,N/A,N/A,N/A,188,95,29,N/A,46 EU,N/A,Perfecto
39,Camiseta,Adidas,87,70,88,164,57,21,S,N/A,N/A,Demasiado grande
40,Pantalón,Pull&Bear Men,N/A,85,100,173,70,30,N/A,N/A,32x30,Perfecto
